# Verification landmarks for the tenki.jp 山口県 map (pref-38-large).
#
# All rows are '?': these are for verify_affine.py, which projects their
# coordinates against the coastline the map draws. Nothing here was fitted, and
# fit_affine.py skips them all.
#
# Coordinates from OpenStreetMap (Nominatim), each checked against its
# display_name — several plausible-looking queries resolved to other
# prefectures or other countries entirely.
#
# Read distances with the feature in mind. A cape or a port is a coastal point
# and should land within a few hundred metres. An ISLAND row is the island's
# centroid, so it sits about its own radius from the coast by construction;
# expected values are noted per row.
#
#  px      py      lon           lat          name
?       ?       130.862359    34.110091    毘沙ノ鼻 (cape, westernmost Honshu)
?       ?       130.863139    33.975565    六連島 (small island, south)
?       ?       130.786685    34.103793    蓋井島 (island ~2.4km2, expect ~0.8km)
?       ?       130.869761    34.357430    角島 (island ~4km2, expect ~1km, north)
?       ?       131.193623    34.418009    青海島 (long island ~15km2, north)
?       ?       132.135883    33.840911    室津 (coastal, far east)
?       ?       131.976863    33.783385    祝島 (island ~7.7km2, expect ~1.5km, SE)
