Name,Latitude,Longitude,Note,In the fit
三角港,32.605726,130.468942,"port, north",held out
湯島,32.602839,130.337885,small island,held out
富岡港,32.523903,130.034630,"port, west 天草",held out
御所浦島,32.327860,130.347420,"island ~13km2, expect ~1.5km",held out
牛深港,32.194404,130.027870,"port, far south",held out
