Name,Latitude,Longitude,Note,In the fit
毘沙ノ鼻,34.110091,130.862359,"cape, westernmost Honshu",held out
六連島,33.975565,130.863139,"small island, south",held out
蓋井島,34.103793,130.786685,"island ~2.4km2, expect ~0.8km",held out
角島,34.357430,130.869761,"island ~4km2, expect ~1km, north",held out
青海島,34.418009,131.193623,"long island ~15km2, north",held out
室津,33.840911,132.135883,"coastal, far east",held out
祝島,33.783385,131.976863,"island ~7.7km2, expect ~1.5km, SE",held out
