id,name,japanese_name
48,Unclassified,
49,Cap,傘型
50,Puffball,腹菌型
51,Crust,皮型
52,Cup,椀型
53,Jelly,ゼリー型
54,Tooth,歯型
55,Bracket,多孔型
56,Coral,珊瑚型
57,Truffle,トリュフ型
58,Stinkhorn,スッポンタケ型
