taxon_key,species_key,scientific_name,source,name
2519226,2519226,Erythromyces crocicreas (Berk. & Broome) Hjortstam & Ryvarden,db,キゾメウロコタケ
2519226,2519226,Erythromyces crocicreas (Berk. & Broome) Hjortstam & Ryvarden,gbif,キゾメウロコタケ
2519230,2519226,Hymenochaete crocicreas Berk. & Broome,db,キゾメウロコタケ
2519230,2519226,Hymenochaete crocicreas Berk. & Broome,gbif,キゾメウロコタケ
2519249,5237653,Coltricia tomentosa (Fr.) Murrill,gbif,ニセカイメンタケ
2519254,5237653,Inonotus tomentosus (Fr.) Teng,gbif,ニセカイメンタケ
2519358,5237690,"Fomes ribis (Schumach.) Fr., 1878",db,スグリタケ
2519358,5237690,"Fomes ribis (Schumach.) Fr., 1878",gbif,スグリタケ
2519360,5237690,Ochroporus ribis (Schumach.) J.Schröt.,db,スグリタケ
2519360,5237690,Ochroporus ribis (Schumach.) J.Schröt.,gbif,スグリタケ
2519412,2519413,Xerocomus chrysenteron (Bull.) Quél.,gbif,キッコウアワタケ
2519413,2519413,Xerocomellus chrysenteron (Bull.) Šutara,gbif,キッコウアワタケ
2519516,7832732,Xerocomus badius (Fr.) Kuhner,gbif,ニセイロガワリ
2519553,8140531,Xerocomus pulverulentus (Opat.) E.-J.Gilbert,gbif,イロガワリ
2519625,2519625,Hymenochaete attenuata (Lév.) Lév.,db,ヒメウロコタケ
2519625,2519625,Hymenochaete attenuata (Lév.) Lév.,gbif,ヒメウロコタケ
2519627,2519625,Stereum attenuatum Lév.,db,ヒメウロコタケ
2519630,2519630,Hymenochaete villosa (Lév.) Bres.,db,オオタバコウロコタケ
2519630,2519630,Hymenochaete villosa (Lév.) Bres.,gbif,オオタバコウロコタケ
2519670,2519670,Hymenochaete episphaeria (Schwein. ex Fr.) Massee,db,シブウロコタケモドキ
2519683,2519683,Hymenochaete rufomarginata Imazeki,db,エビウロコタケモドキ
2519686,2519686,Hymenochaete unicolor Berk. & M.A.Curtis,db,アツミヒビウロコタケ
2519686,2519686,Hymenochaete unicolor Berk. & M.A.Curtis,gbif,アツミヒビウロコタケ
2519696,8787203,Hymenochaete arida (P.Karst.) Sacc.,db,ケイヒウロコタケ
2519696,8787203,Hymenochaete arida (P.Karst.) Sacc.,gbif,ケイヒウロコタケ
2519770,2519770,Hymenochaete rubiginosa (Dicks.) Lév.,db,エビウロコタケ
2519770,2519770,Hymenochaete rubiginosa (Dicks.) Lév.,gbif,エビウロコタケ
2519782,2519782,Hymenochaete spreta Peck,db,ケイヒウロコタケモドキ
2519782,2519782,Hymenochaete spreta Peck,gbif,ケイヒウロコタケモドキ
2519790,2519790,Hymenochaete adusta (Lév.) Har. & Pat.,db,マツカサウロコタケ
2519798,2519798,Hymenochaete mougeotii (Fr.) Cooke,db,アカウロコタケ
2519799,2519798,Stereum mougeotii (Fr.) Quél.,db,アカウロコタケ
2519828,9035469,Fomes pini (Thore) P.Karst.,gbif,マツノカタハタケ
2519833,9035469,Phellinus pini (Brot.) Bondartsev & Singer,gbif,マツノカタハタケ
2519869,10814759,Irpex tabacinoides Yasuda,gbif,コガネウスバタケ
2519879,2519879,Coltricia cinnamomea (Jacq.) Murrill,db,ニッケイタケ
2519879,2519879,Coltricia cinnamomea (Jacq.) Murrill,gbif,ニッケイタケ
2519915,2519915,Coltricia perennis (L.) Murrill,db,オツネンタケ
2519915,2519915,Coltricia perennis (L.) Murrill,gbif,オツネンタケ
2519942,2519942,Coltricia montagnei (Fr.) Murrill,db,アミウズタケ
2519942,2519942,Coltricia montagnei (Fr.) Murrill,gbif,ウズタケ
2520013,10700730,Hymenochaete tabacina (Sowerby) Lév.,gbif,タバコウロコタケ
2520017,10700730,Stereum tabacinum (Sowerby) Fr.,gbif,タバコウロコタケ
2520036,2520036,Pseudoinonotus dryadeus (Pers.) T.Wagner & M.Fisch.,db,マクラタケ
2520036,2520036,Pseudoinonotus dryadeus (Pers.) T.Wagner & M.Fisch.,gbif,マクラタケ
2520046,2520036,Inonotus dryadeus (Pers.) Murrill,db,マクラタケ
2520046,2520036,Inonotus dryadeus (Pers.) Murrill,gbif,マクラタケ
2520087,2520087,Coltriciella dependens (Berk. & M.A.Curtis) Murrill,db,ヒメカイメンタケ
2520092,2520087,Coltricia dependens (Berk. & M.A.Curtis) Imazeki,db,ヒメカイメンタケ
